Австрия	Вена
Азербайджан	Баку
Албания	Тирана
Андорра	Андорра-ла-Велья
Армения	Ереван
Беларусь	Минск
Бельгия	Брюссель
Болгария	София
Босния и Герцеговина	Сараево
Ватикан	Ватикан
Великобритания	Лондон
Венгрия	Будапешт
Германия	Берлин
Греция	Афины
Грузия	Тбилиси
Дания	Копенгаген
Ирландия	Дублин
Исландия	Рейкьявик
Испания	Мадрид
Италия	Рим
Кипр	Никосия
Латвия	Рига
Литва	Вильнюс
Лихтенштейн	Вадуц
Люксембург	Люксембург
Мальта	Валлетта
Молдова	Кишинёв
Монако	Монако
Нидерланды	Амстердам
Норвегия	Осло
Польша	Варшава
Португалия	Лиссабон
Россия	Москва
Румыния	Бухарест
Сан-Марино	Сан-Марино
Северная Македония	Скопье
Сербия	Белград
Словакия	Братислава
Словения	Любляна
Турция	Анкара
Украина	Киев
Финляндия	Хельсинки
Франция	Париж
Хорватия	Загреб
Черногория	Подгорица
Чехия	Прага
Швейцария	Берн
Швеция	Стокгольм
Эстония	Таллин
Приднестровская Молдавская Республика	Тирасполь
Республика Косово	Приштина
Турецкая Республика Северного Кипра	Северная Никосия
Нагорно-Карабахская Республика	Степанакерт
Республика Абхазия	Сухум(и)
Республика Южная Осетия	Цхинвал(и)
Афганистан	Кабул
Бангладеш	Дакка
Бахрейн	Манама
Бруней	Бандар-Сери-Бегаван
Бутан	Тхимпху
Восточный Тимор	Дили
Вьетнам	Ханой
Йемен	Сана
Израиль	Иерусалим
Индия	Дели (Нью-Дели)
Индонезия	Джакарта
Иордания	Амман
Ирак	Багдад
Иран	Тегеран
Казахстан	Астана
Камбоджа	Пномпень
Катар	Доха
Кыргызстан	Бишкек
КНР	Пекин
КНДР	Пхеньян
Кувейт	Эль-Кувейт
Лаос	Вьентьян
Ливан	Бейрут
Малайзия	Куала-Лумпур
Мальдивы	Мале
Монголия	Улан-Батор
Мьянма	Нейпьидо
Непал	Катманду
ОАЭ	Абу-Даби
Оман	Маскат
Пакистан	Исламабад
Республика Корея	Сеул
Саудовская Аравия	Эр-Рияд
Сингапур	Сингапур (город)
Сирия	Дамаск
Таджикистан	Душанбе
Таиланд	Бангкок
Туркмения	Ашхабад
Узбекистан	Ташкент
Филиппины	Манила
Шри-Ланка	Шри-Джаяварденепура-Котте
Япония	Токио
Азад Джамму и Кашмир	Музаффарабад
Государство Палестина	Рамалла
Китайская Республика	Тайбэй
Алжир	Алжир
Ангола	Луанда
Бенин	Порто-Ново
Ботсвана	Габороне
Буркина-Фасо	Уагадугу
Бурунди	Бужумбура
Габон	Либревиль
Гамбия	Банжул
Гана	Аккра
Гвинея	Конакри
Гвинея-Бисау	Бисау
Демократическая Республика Конго	Киншаса
Джибути	Джибути
Египет	Каир
Замбия	Лусака
Зимбабве	Хараре
Кабо-Верде	Прая
Камерун	Яунде
Кения	Найроби
Коморы	Морони
Кот-д’Ивуар	Ямусукро
Лесото	Масеру
Либерия	Монровия
Ливия	Триполи
Маврикий	Порт-Луи
Мавритания	Нуакшот
Мадагаскар	Антананариву
Малави	Лилонгве
Мали	Бамако
Марокко	Рабат
Мозамбик	Мапуту
Намибия	Виндхук
Нигер	Ниамей
Нигерия	Абуджа
Республика Конго	Браззавиль
Руанда	Кигали
Сан-Томе и Принсипи	Сан-Томе
Сейшельские Острова	Виктория
Сенегал	Дакар
Сомали	Могадишо
Судан	Хартум
Сьерра-Леоне	Фритаун
Танзания	Додома
Того	Ломе
Тунис	Тунис
Уганда	Кампала
ЦАР	Банги
Чад	Нджамена
Экваториальная Гвинея	Малабо
Эритрея	Асмэра
Эсватини	Мбабане
Эфиопия	Аддис-Абеба
ЮАР	Претория
Южный Судан	Джуба
Сахарская Арабская Демократическая Республика	Эль-Аюн
Сомалиленд	Харгейса
Антигуа и Барбуда	Сент-Джонс
Аргентина	Буэнос-Айрес
Багамские Острова	Нассау
Барбадос	Бриджтаун
Белиз	Бельмопан
Боливия	Сукре
Бразилия	Бразилиа
Венесуэла	Каракас
Гайана	Джорджтаун
Гаити	Порт-о-Пренс
Гватемала	Гватемала
Гондурас	Тегусигальпа
Гренада	Сент-Джорджес
Доминика	Розо
Доминиканская Республика	Санто-Доминго
Канада	Оттава
Колумбия	Богота
Коста-Рика	Сан-Хосе
Куба	Гавана
Мексика	Мехико
Никарагуа	Манагуа
Панама	Панама
Парагвай	Асунсьон
Перу	Лима
Сальвадор	Сан-Сальвадор
Сент-Винсент и Гренадины	Кингстаун
Сент-Китс и Невис	Бастер
Сент-Люсия	Кастри
Суринам	Парамарибо
США	Вашингтон
Тринидад и Тобаго	Порт-оф-Спейн
Уругвай	Монтевидео
Чили	Сантьяго
Эквадор	Кито
Ямайка	Кингстон
Гвиана	Кайенна
Австралия	Канберра
Вануату	Порт-Вила
Кирибати	Южная Тарава (Баирики)
Маршалловы Острова	Маджуро
Микронезия	Паликир
Науру	Официальной столицы нет
Новая Зеландия	Веллингтон
Палау	Нгерулмуд
Папуа — Новая Гвинея	Порт-Морсби
Самоа	Апиа
Соломоновы Острова	Хониара
Тонга	Нукуалофа
Тувалу	Фунафути
Фиджи	Сува
